Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
" my bro using his skills took tamiflu and changed his behaviour plus could not sleep doctors prescribed this to children who never recovered from it's behavioural effects some even committing suicide some trust doctors too much",36,18.82,71.09,4.97,77.00,36.00,33.33,97.22,41.67,16.67,8.33,2.78,0.00,0.00,5.56,0.00,8.33,0.00,8.33,5.56,8.33,5.56,5.56,13.89,0.00,0.00,2.78,0.00,8.33,2.78,2.78,0.00,0.00,0.00,0.00,16.67,2.78,0.00,0.00,8.33,25.00,2.78,8.33,2.78,5.56,5.56,2.78,0.00,0.00,0.00,0.00,11.11,2.78,8.33,0.00,0.00,25.00,2.78,5.56,8.33,5.56,2.78,5.56,5.56,0.00,11.11,8.33,0.00,2.78,8.33,0.00,0.00,0.00,0.00,2.78,2.78,0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00
" again the idiocy will never endnthis is the fastest pandemic evernonce the hospital bed are full we will die at home without icunlet alone the lack of antiviral drugs ntamiflu antiviral drugs here in australia have only be allocated to private clinicsnlock down now ",44,80.14,50.00,31.94,3.73,44.00,31.82,77.27,50.00,2.27,2.27,0.00,2.27,0.00,0.00,0.00,0.00,9.09,13.64,13.64,11.36,0.00,4.55,18.18,6.82,2.27,0.00,0.00,0.00,2.27,0.00,2.27,0.00,0.00,2.27,4.55,0.00,0.00,0.00,0.00,6.82,0.00,0.00,2.27,0.00,2.27,2.27,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,6.82,2.27,0.00,2.27,0.00,2.27,0.00,15.91,4.55,18.18,2.27,9.09,9.09,0.00,0.00,4.55,0.00,0.00,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
